,Week,currentStock,currentOrders,lastOrderQuantity,currentPipeline,action,reward,cumulativeReward,done
0,0,12.0,4.0,0,4.0,19,-6.0,6.0,0
1,1,12.0,4.0,19,4.0,26,-6.0,12.0,0
2,2,12.0,4.0,26,4.0,10,-6.0,18.0,0
3,3,12.0,4.0,10,16.0,13,-6.0,24.0,0
4,4,24.0,4.0,13,4.0,6,-12.0,36.0,0
5,5,24.0,0.0,6,4.0,10,-12.0,48.0,0
6,6,28.0,0.0,10,4.0,22,-14.0,62.0,0
7,7,32.0,0.0,22,4.0,15,-16.0,78.0,0
8,8,36.0,4.0,15,20.0,21,-18.0,96.0,0
9,9,52.0,8.0,21,0.0,8,-26.0,122.0,0
10,10,44.0,12.0,8,4.0,24,-22.0,144.0,0
11,11,36.0,12.0,24,29.5,1,-18.0,162.0,0
12,12,53.5,8.0,1,54.0,21,-26.75,188.75,0
13,13,99.5,0.0,21,16.5,1,-49.75,238.5,0
14,14,116.0,0.0,1,21.0,24,-58.0,296.5,0
15,15,137.0,0.0,24,1.0,15,-68.5,365.0,0
16,16,138.0,0.0,15,24.0,26,-69.0,434.0,0
17,17,162.0,0.0,26,15.0,28,-81.0,515.0,0
18,18,177.0,0.0,28,26.0,28,-88.5,603.5,0
19,19,203.0,4.0,28,28.0,12,-101.5,705.0,0
20,20,227.0,8.0,12,5.5,19,-113.5,818.5,0
21,21,224.5,12.0,19,0.0,11,-112.25,930.75,0
22,22,212.5,12.0,11,6.5,22,-106.25,1037.0,0
23,23,207.0,8.0,22,19.75,12,-103.5,1140.5,0
24,24,218.75,0.0,12,0.0,4,-109.375,1249.875,0
25,25,218.75,0.0,4,3.5,13,-109.375,1359.25,0
26,26,222.25,0.0,13,32.75,1,-111.125,1470.375,0
27,27,255.0,0.0,1,53.0,25,-127.5,1597.875,0
28,28,308.0,0.0,25,1.0,16,-154.0,1751.875,0
29,29,309.0,0.0,16,25.0,4,-154.5,1906.375,0
30,30,334.0,4.0,4,16.0,5,-167.0,2073.375,0
31,31,346.0,8.0,5,4.0,22,-173.0,2246.375,0
32,32,342.0,12.0,22,5.0,9,-171.0,2417.375,0
33,33,335.0,12.0,9,22.0,19,-167.5,2584.875,0
34,34,345.0,8.0,19,9.0,24,-172.5,2757.375,0
35,35,346.0,0.0,24,19.0,5,-173.0,2930.375,0
36,36,365.0,0.0,5,24.0,29,-182.5,3112.875,0
37,37,389.0,0.0,29,5.0,10,-194.5,3307.375,0
38,38,394.0,0.0,10,0.875,7,-197.0,3504.375,0
39,39,394.875,0.0,7,6.125,16,-197.4375,3701.8125,0
40,40,401.0,0.0,16,11.125,7,-200.5,3902.3125,0
41,41,412.125,4.0,7,6.25,17,-206.0625,4108.375,0
42,42,414.375,8.0,17,0.0,0,-207.1875,4315.5625,0
43,43,406.375,12.0,0,19.8125,27,-203.1875,4518.75,0
44,44,414.1875,12.0,27,41.8125,7,-207.09375,4725.84375,0
45,45,444.0,8.0,7,27.0,1,-222.0,4947.84375,0
46,46,463.0,0.0,1,7.0,3,-231.5,5179.34375,0
47,47,470.0,0.0,3,1.0,9,-235.0,5414.34375,0
48,48,471.0,0.0,9,3.0,19,-235.5,5649.84375,0
49,49,474.0,0.0,19,9.0,4,-237.0,5886.84375,0
50,50,483.0,0.0,4,19.0,1,-241.5,6128.34375,0
51,51,502.0,0.0,1,4.0,17,-251.0,6379.34375,1
